Sl. No.,State/UT,Un-Married - Male,Un-Married - Female,Un-Married - Transgender,Un-Married - Total,Married - Male,Married - Female,Married - Transgender,Married - Total,Widowed/Widower - Male,Widowed/Widower - Female,Widowed/Widower - Transgender,Widowed/Widower - Total,Divorcee - Male,Divorcee - Female,Divorcee - Transgender,Divorcee - Total,Separated - Male,Separated - Female,Separated - Transgender,Separated - Total,Others - Male,Others - Female,Others - Transgender,Others - Total,Status Not Known - Male,Status Not Known - Female,Status Not Known - Transgender,Status Not Known - Total,Total - Male,Total - Female,Total - Transgender,Total
19,Odisha,439,384,0,823,607,2312,0,2919,0,15,0,15,0,1,0,1,0,6,0,6,168,283,0,451,936,989,0,1925,2150,3990,0,6140
20,Punjab,600,137,1,738,1251,367,0,1618,3,1,0,4,13,1,0,14,5,4,0,9,2,0,0,2,55,1,0,56,1929,511,1,2441
21,Rajasthan,989,490,0,1479,2795,876,0,3671,41,20,0,61,31,16,0,47,6,6,0,12,25,2,0,27,38,8,0,46,3925,1418,0,5343
22,Sikkim,89,19,0,108,131,44,0,175,1,3,0,4,0,0,0,0,3,1,0,4,0,0,0,0,2,0,0,2,226,67,0,293
23,Tamil Nadu,3588,1361,14,4963,10396,4092,1,14489,64,102,0,166,23,12,0,35,61,21,0,82,7,4,1,12,80,7,0,87,14219,5599,16,19834
24,Telangana,1574,511,0,2085,5878,1558,0,7436,57,46,0,103,33,33,0,66,58,25,0,83,63,25,0,88,106,13,0,119,7769,2211,0,9980
25,Tripura,111,59,0,170,393,150,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,209,0,713
26,Uttar Pradesh,1415,837,0,2252,3300,1862,0,5162,59,33,0,92,33,20,0,53,18,8,0,26,208,104,0,312,192,87,0,279,5225,2951,0,8176
27,Uttarakhand,184,125,0,309,331,145,0,476,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,23,538,276,0,814
28,West Bengal,1626,1045,0,2671,4227,2513,0,6740,133,77,0,210,50,46,0,96,43,27,0,70,459,324,0,783,1487,612,0,2099,8025,4644,0,12669
Total (States),Total (States),28411,12198,22,40631,81604,30021,1,111626,1476,994,0,2470,624,313,0,937,652,308,1,961,1698,965,2,2665,4767,2123,1,6891,119232,46922,27,166181
29,Andaman and Nicobar Islands,52,6,0,58,84,20,0,104,3,4,0,7,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,140,31,0,171
30,Chandigarh,37,17,0,54,53,23,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,91,40,0,131
31,Dadra and Nagar Haveli and Daman and Diu,58,31,0,89,88,26,0,114,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,147,58,0,205
32,Delhi (UT),720,259,0,979,1539,521,0,2060,24,11,0,35,12,7,0,19,27,7,0,34,58,9,0,67,178,45,0,223,2558,859,0,3417
